id,title,year
284053,Thor: Ragnarok,2017
312221,Creed,2015
479455,Men in Black: International,2019
49519,The Croods,2013
2059,National Treasure,2004
1250,Ghost Rider,2007
70160,The Hunger Games,2012
101299,The Hunger Games: Catching Fire,2013
131631,The Hunger Games: Mockingjay - Part 1,2014
495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020
346698,Barbie,2023
436969,The Suicide Squad,2021
1366,Rocky,1976
27578,The Expendables,2010
76163,The Expendables 2,2012
769,GoodFellas,1990
475557,Joker,2019
103,Taxi Driver,1976
126889,Alien: Covenant,2017
121856,Assassin's Creed,2016
246655,X-Men: Apocalypse,2016
419430,Get Out,2017
762504,Nope,2022
284054,Black Panther,2018
268896,Pacific Rim: Uprising,2018
140607,Star Wars: The Force Awakens,2015
181808,Star Wars: The Last Jedi,2017
284052,Doctor Strange,2016
205596,The Imitation Game,2014
453395,Doctor Strange in the Multiverse of Madness,2022
12405,Slumdog Millionaire,2008
334543,Lion,2016
198184,Chappie,2015
353486,Jumanji: Welcome to the Jungle,2017
512200,Jumanji: The Next Level,2019
254128,San Andreas,2015
11324,Shutter Island,2010
284053,Thor: Ragnarok,2017
24428,The Avengers,2012
530385,Midsommar,2019
497698,Black Widow,2021
619730,Don't Worry Darling,2022
271110,Captain America: Civil War,2016
1771,Captain America: The First Avenger,2011
100402,Captain America: The Winter Soldier,2014
273248,The Hateful Eight,2015
680,Pulp Fiction,1994
100402,Captain America: The Winter Soldier,2014
157336,Interstellar,2014
350,The Devil Wears Prada,2006
9880,The Princess Diaries,2001
315635,Spider-Man: Homecoming,2017
634649,Spider-Man: No Way Home,2021
429617,Spider-Man: Far From Home,2019
37165,The Truman Show,1998
38,Eternal Sunshine of the Spotless Mind,2004
310,Bruce Almighty,2003
286217,The Martian,2015
157336,Interstellar,2014
97630,Zero Dark Thirty,2012
329865,Arrival,2016
340666,Nocturnal Animals,2016
49521,Man of Steel,2013
4922,The Curious Case of Benjamin Button,2008
284053,Thor: Ragnarok,2017
82702,How to Train Your Dragon 2,2014
259316,Fantastic Beasts and Where to Find Them,2016
338952,Fantastic Beasts: The Crimes of Grindelwald,2018
266856,The Theory of Everything,2014
141,Donnie Darko,2001
242582,Nightcrawler,2014
1949,Zodiac,2007
338970,Tomb Raider,2018
264660,Ex Machina,2015
306819,The Danish Girl,2015
76341,Mad Max: Fury Road,2015
341013,Atomic Blonde,2017
8960,Hancock,2008
76492,Hotel Transylvania,2012
257344,Pixels,2015
1824,50 First Dates,2004
509,Notting Hill,1999
114,Pretty Woman,1990
406997,Wonder,2017
49047,Gravity,2013
211672,Minions,2015
405774,Bird Box,2018
27205,Inception,2010
597,Titanic,1997
106646,The Wolf of Wall Street,2013
819,Sleepers,1996
9362,Tremors,1990
49538,X-Men: First Class,2011
284054,Black Panther,2018
458723,Us,2019
1184918,The Wild Robot,2024
745,The Sixth Sense,1999
562,Die Hard,1988
18,The Fifth Element,1997
603,The Matrix,1999
245891,John Wick,2014
324552,John Wick: Chapter 2,2017
953,Madagascar,2005
1593,Night at the Museum,2006
116745,The Secret Life of Walter Mitty,2013
350,The Devil Wears Prada,2006
11631,Mamma Mia!,2008
446354,The Post,2017
102651,Maleficent,2014
420809,Maleficent: Mistress of Evil,2019
1995,Lara Croft: Tomb Raider,2001
240,The Godfather Part II,1974
111,Scarface,1983
238,The Godfather,1972
13,Forrest Gump,1994
862,Toy Story,1995
497,The Green Mile,1999
155,The Dark Knight,2008
49026,The Dark Knight Rises,2012
272,Batman Begins,2005
597,Titanic,1997
38,Eternal Sunshine of the Spotless Mind,2004
8055,The Reader,2008
634649,Spider-Man: No Way Home,2021
315635,Spider-Man: Homecoming,2017
137113,Edge of Tomorrow,2014
75612,Oblivion,2013
56292,Mission: Impossible - Ghost Protocol,2011
10195,Thor,2011
284053,Thor: Ragnarok,2017
76338,Thor: The Dark World,2013
156022,The Equalizer,2014
20504,The Book of Eli,2010
87502,Flight,2012
313369,La La Land,2016
335984,Blade Runner 2049,2017
64690,Drive,2011
337404,Cruella,2021
1930,The Amazing Spider-Man,2012
313369,La La Land,2016
263115,Logan,2017
1124,The Prestige,2006
127585,X-Men: Days of Future Past,2014
424694,Bohemian Rhapsody,2018
370172,No Time to Die,2021
286217,The Martian,2015
489,Good Will Hunting,1997
2501,The Bourne Identity,2002
321612,Beauty and the Beast,2017
12445,Harry Potter and the Deathly Hallows: Part 2,2011
12444,Harry Potter and the Deathly Hallows: Part 1,2010
297761,Suicide Squad,2016
50014,The Help,2011
146233,Prisoners,2013
19404,Dilwale Dulhania Le Jayenge,1995
26022,My Name Is Khan,2010
4254,Kal Ho Naa Ho,2003
16869,Inglourious Basterds,2009
72190,World War Z,2013
550,Fight Club,1999
24428,The Avengers,2012
299536,Avengers: Infinity War,2018
1726,Iron Man,2008
391713,Lady Bird,2017
331482,Little Women,2019
7980,The Lovely Bones,2009
218,The Terminator,1984
280,Terminator 2: Judgment Day,1991
106,Predator,1987
299537,Captain Marvel,2019
264644,Room,2015
64688,21 Jump Street,2012
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003
58,Pirates of the Caribbean: Dead Man's Chest,2006
118,Charlie and the Chocolate Factory,2005
297762,Wonder Woman,2017
464052,Wonder Woman 1984,2020
209112,Batman v Superman: Dawn of Justice,2016
