id,name,birth
62561,Tessa Thompson,0
2963,Nicolas Cage,0
72129,Jennifer Lawrence,0
234352,Margot Robbie,0
16483,Sylvester Stallone,0
380,Robert De Niro,0
17288,Michael Fassbender,0
206919,Daniel Kaluuya,0
236695,John Boyega,0
71580,Benedict Cumberbatch,0
76788,Dev Patel,0
18918,Dwayne Johnson,0
103,Mark Ruffalo,0
1373737,Florence Pugh,0
16828,Chris Evans,0
2231,Samuel L. Jackson,0
1813,Anne Hathaway,0
1136406,Tom Holland,0
206,Jim Carrey,0
83002,Jessica Chastain,0
9273,Amy Adams,0
112,Cate Blanchett,0
37632,Eddie Redmayne,0
131,Jake Gyllenhaal,0
227454,Alicia Vikander,0
6885,Charlize Theron,0
19292,Adam Sandler,0
1204,Julia Roberts,0
18277,Sandra Bullock,0
6193,Leonardo DiCaprio,0
4724,Kevin Bacon,0
1267329,Lupita Nyong'o,0
62,Bruce Willis,0
6384,Keanu Reeves,0
7399,Ben Stiller,0
5064,Meryl Streep,0
11701,Angelina Jolie,0
1158,Al Pacino,0
31,Tom Hanks,0
3894,Christian Bale,0
204,Kate Winslet,0
505710,Zendaya,0
500,Tom Cruise,0
74568,Chris Hemsworth,0
5292,Denzel Washington,0
30614,Ryan Gosling,0
54693,Emma Stone,0
6968,Hugh Jackman,0
17838,Rami Malek,0
1892,Matt Damon,0
10990,Emma Watson,0
19492,Viola Davis,0
35742,Shah Rukh Khan,0
287,Brad Pitt,0
3223,Robert Downey Jr.,0
36592,Saoirse Ronan,0
1100,Arnold Schwarzenegger,0
60073,Brie Larson,0
85,Johnny Depp,0
90633,Gal Gadot,0
